ekatte,t_v_m,name,oblast,obstina,kmetstvo,kind,category,altitude,document,tsb,abc
22397,с.,Долни Драгойча,GAB,GAB12,GAB12-02,3,8,5,1901,N,1547
22407,гр.,Долни Дъбник,PVN,PVN11,PVN11-00,1,4,2,1901,NW,1548
22410,с.,Долни Коритен,KNL,KNL50,KNL50-00,3,8,7,1901,SW,1549
22424,с.,Долни Лом,VID,VID37,VID37-03,3,7,5,1901,NW,1550
22438,с.,Долни Луковит,PVN,PVN23,PVN23-01,3,5,2,1901,NW,1551
22441,с.,Долни Маренци,GAB,GAB35,GAB35-04,3,8,6,1901,N,1552
22455,с.,Долни Марян,VTR,VTR13,VTR13-00,3,8,4,1901,N,1553
22469,с.,Долни Окол,SFO,SFO39,SFO39-00,3,7,7,1901,SW,1554
22472,с.,Долни Пасарел,SOF,SOF46,SOF46-56,3,5,7,1901,SW,1555
22486,с.,Долни Радковци,GAB,GAB35,GAB35-04,3,8,7,1901,N,1556
22490,с.,Долни Раковец,PER,PER36,PER36-27,3,6,6,1901,SW,1557
22506,с.,Долни Романци,PER,PER08,PER08-00,3,8,7,1901,SW,1558
22513,с.,Долни Танчевци,VTR,VTR13,VTR13-00,3,8,6,1901,N,1559
22527,с.,Долни Томчевци,GAB,GAB35,GAB35-00,3,8,6,1901,N,1560
22530,с.,Долни Цибър,MON,MON11,MON11-05,3,5,1,1901,NW,1561
21912,гр.,Долни чифлик,VAR,VAR13,VAR13-00,1,3,1,1901,NE,1562
22544,с.,Долни Юруци,KRZ,KRZ15,KRZ15-00,3,8,5,1901,S,1563
22558,с.,Долно Абланово,RSE,RSE27,RSE27-02,3,7,3,1901,N,1564
22561,с.,Долно Белево,HKV,HKV09,HKV09-10,3,7,3,1901,S,1565
03736,с.,Долно Белотинци,MON,MON29,MON29-03,3,6,3,1901,NW,1566
22575,с.,Долно Ботево,HKV,HKV30,HKV30-16,3,6,4,1901,S,1567
22589,с.,Долно Войводино,HKV,HKV34,HKV34-10,3,7,4,1901,S,1568
22592,с.,Долно вършило,PAZ,PAZ29,PAZ29-00,3,8,6,1901,S,1569
24949,с.,Долно Големанци,HKV,HKV34,HKV34-11,3,6,3,1901,S,1570
22602,с.,Долно Драглище,BLG,BLG37,BLG37-06,3,6,7,1901,SW,1571
22616,с.,Долно Дряново,BLG,BLG13,BLG13-04,3,5,7,1901,SW,1572
22633,с.,Долно изворово,SZR,SZR12,SZR12-04,3,6,5,1901,SE,1573
22647,с.,Долно Камарци,SFO,SFO10,SFO10-07,3,6,6,1901,SW,1574
