VAR01,00084,Аврен,4,1896,1
BGS01,00151,Айтос,3,1896,2
VAR02,00182,Аксаково,3,1896,3
SLS01,00415,Алфатар,4,1896,4
SFO54,00504,Антон,5,1825,5
TGV02,00518,Антоново,4,1896,6
LOV02,52218,Априлци,5,1825,7
KRZ02,00607,Ардино,4,1896,8
PDV01,00702,Асеновград,2,1896,9
DOB03,02508,Балчик,2,1896,10
SML02,44402,Баните,5,1896,11
BLG01,02676,Банско,3,1896,12
PAZ03,02837,Батак,4,1825,13
PVN03,03366,Белене,3,1896,14
BLG02,03504,Белица,4,1896,15
PAZ04,03592,Белово,4,1825,16
VID01,03616,Белоградчик,3,1896,17
VAR04,03719,Белослав,4,1825,18
MON02,03928,Берковица,3,1896,19
BLG03,04279,Благоевград,1,1896,20
KNL04,04501,Бобов дол,3,1896,21
KNL05,04532,Бобошево,5,1825,22
SFO06,05027,Божурище,3,1896,23
VID03,05195,Бойница,5,1896,24
MON04,05236,Бойчиновци,5,1896,25
JAM03,05284,Болярово,4,1896,26
SML05,05462,Борино,5,1896,27
VRC05,05548,Борован,5,1896,28
RSE03,05611,Борово,4,1896,29
SFO07,05815,Ботевград,2,1896,30
SZR04,06183,Братя Даскалови,5,1896,31
PAZ06,06207,Брацигово,4,1825,32
VID06,06224,Брегово,5,1896,33
PER08,06286,Брезник,3,1896,34
PDV07,06361,Брезово,4,1896,35
MON07,06570,Брусарци,5,1896,36
BGS04,07079,Бургас,1,1896,37
RSE04,07603,Бяла,3,1896,38
VAR05,07598,Бяла,4,1896,39
VRC08,07702,Бяла Слатина,3,1896,40
VAR06,10135,Варна,1,1825,41
SHU23,58222,Велики Преслав,3,1896,42
VTR04,10447,Велико Търново,1,1896,43
PAZ08,10450,Велинград,2,1896,44
SHU07,10642,Венец,5,1896,45
RSE05,10803,Ветово,4,1896,46
VAR08,10865,Ветрино,5,1896,47
VID09,10971,Видин,1,1896,48
VRC10,12259,Враца,1,1896,49
MON11,12543,Вълчедръм,4,1896,50
VAR09,12574,Вълчи дол,4,1896,51
SHU10,12766,Върбица,4,1896,52
MON12,12961,Вършец,4,1896,53
GAB05,14218,Габрово,1,1907,54
DOB12,14711,Генерал Тошево,3,1896,55
MON14,14773,Георги Дамяново,5,1896,56
SLS07,15031,Главиница,4,1896,57
SFO09,15309,Годеч,3,1896,58
SFO10,16314,Горна Малина,4,1896,59
VTR06,16359,Горна Оряховица,2,1896,60
BLG11,17395,Гоце Делчев,2,1881,61
VID15,17645,Грамада,5,1896,62
PVN08,18099,Гулянци,4,1896,63
SZR37,18157,Гурково,4,1825,64
SZR07,18280,Гълъбово,3,1896,65
BLG13,18366,Гърмен,4,1896,66
RSE08,20184,Две могили,4,1896,67
SML09,20465,Девин,3,1896,68
VAR14,20482,Девня,3,1896,69
KRZ08,20746,Джебел,4,1896,70
HKV09,21052,Димитровград,2,1896,71
VID16,21097,Димово,5,1896,72
DOB15,72624,Добрич-селска,3,1896,73
DOB28,72624,Добрич,1,1825,74
SFO59,22006,Долна баня,4,1904,75
PVN10,22215,Долна Митрополия,4,1896,76
PVN11,22407,Долни Дъбник,4,1825,77
VAR13,21912,Долни чифлик,3,1896,78
SML10,23025,Доспат,4,1825,79
SFO16,23409,Драгоман,4,1896,80
GAB12,23947,Дряново,3,1896,81
SLS10,24030,Дулово,3,1896,82
KNL48,68789,Дупница,2,1896,83
VAR16,24565,Дългопол,4,1896,84
VTR13,27190,Елена,3,1896,85
SFO17,27303,Елин Пелин,3,1896,86
JAM07,27382,Елхово,3,1896,87
SFO18,27632,Етрополе,3,1896,88
RAZ11,30065,Завет,4,1825,89
PER19,30778,Земен,4,1896,90
VTR14,30962,Златарица,5,1896,91
SFO47,31044,Златица,3,1896,92
SML11,31111,Златоград,3,1896,93
HKV11,32024,Ивайловград,3,1896,94
