kmetstvo,name,center,document,category
BLG02-04,Дагоново,20064,2,
BLG02-06,Краище,39270,2,
BLG02-07,Кузьово,40453,1896,
BLG02-08,Лютово,44762,1896,
BLG02-09,Орцево,53998,1896,
BLG02-10,Палатик,59330,1896,
BLG02-11,Горно Краище,77596,2,
BLG02-12,Черешово,80649,1896,
BLG03-01,Изгрев,00134,2,
BLG03-02,Бело поле,03664,2,
BLG03-03,Бистрица,04217,1896,
BLG03-05,Българчево,07377,1896,
BLG03-10,Дъбрава,24367,1896,
BLG03-11,Еленово,27231,1896,
BLG03-12,Зелендол,30702,1896,
BLG03-14,Лешко,43520,1896,
BLG03-15,Марулево,47370,1896,
BLG03-17,Падеш,55107,2,
BLG03-18,Покровник,57159,2,
BLG03-19,Рилци,62699,2,
BLG03-20,Селище,66055,1896,
BLG03-21,Логодаж,68792,2,
BLG03-22,Церово,78464,2,
BLG11-01,Баничан,02600,2,
BLG11-02,Борово,05606,2,
BLG11-03,Брезница,06306,2,
BLG11-04,Буково,07003,2,
BLG11-05,Господинци,17347,2,
BLG11-07,Корница,38666,2,
BLG11-08,Лъжница,44416,2,
BLG11-09,Мусомища,49432,2,
BLG13-01,Балдево,02381,1896,
BLG13-02,Горно Дряново,16763,2,
BLG13-03,Дебрен,20331,2,
BLG13-04,Долно Дряново,22616,2,
BLG13-05,Дъбница,24267,2,
BLG13-07,Крушево,40138,1896,
BLG13-08,Марчево,47408,1896,
BLG13-09,Огняново,53326,2,
BLG13-10,Ореше,53727,1896,
BLG13-11,Осиково,54184,2,
BLG13-12,Рибново,62640,2,
BLG13-13,Скребатно,66874,1896,
BLG13-14,Хвостяне,77222,2,
BLG28-01,Горна Брезница,16136,2,
BLG28-02,Долна Градешница,22068,2,
BLG28-05,Сливница,67369,1905,
BLG33-02,Беласица,03294,2,
BLG33-06,Габрене,14091,2,
BLG33-07,Гега,14581,1896,
BLG33-09,Долна Крушица,22143,1896,
BLG33-10,Долна Рибница,22246,1301,
BLG33-11,Долно Спанчево,22842,1896,
BLG33-13,Дрангово,23563,2,
BLG33-16,Кавракирово,35081,2,
BLG33-17,Камена,35688,1896,
BLG33-18,Капатово,36083,1896,
BLG33-19,Ключ,37349,2,
BLG33-20,Коларово,37989,2,
BLG33-21,Кромидово,39935,1896,
BLG33-23,Кулата,40539,2,
BLG33-24,Кърналово,40912,2,
BLG33-25,Марикостиново,47189,2,
BLG33-26,Марино поле,47247,1896,
BLG33-27,Мендово,47799,1896,
BLG33-28,Митино,48458,1896,
BLG33-29,Михнево,48578,2,
BLG33-30,Рупите,49312,2,
BLG33-31,Ново Кономлади,52091,1896,
BLG33-33,Генерал Тодоров,58390,2,
BLG33-34,Първомай,59077,2,
BLG33-35,Рибник,62623,1896,
BLG33-36,Ръждак,63542,1896,
BLG33-37,Самуилово,65293,2,
BLG33-39,Скрът,66901,2,
BLG33-40,Старчево,69119,2,
BLG33-41,Струмешница,69941,1896,
BLG33-42,Тополница,72744,2,
BLG33-44,Чуричени,81791,1896,
BLG33-45,Чучулигово,81832,1896,
BLG33-46,Яворница,87134,2,
BLG37-01,Баня,02693,2,
BLG37-02,Бачево,02960,2,
BLG37-03,Годлево,15326,2,
BLG37-04,Горно Драглище,16754,2,
BLG37-05,Добърско,21748,2,
BLG37-06,Долно Драглище,22602,2,
BLG37-07,Елешница,27293,164,
BLG40-03,Враня,12200,1896,
BLG40-04,Вълково,12471,770,
BLG40-08,Дамяница,20105,2,
BLG40-10,Джигурово,20780,2,
BLG40-13,Калиманци,35362,1896,
BLG40-14,Катунци,36693,2,
BLG40-19,Ласкарево,43150,1896,
BLG40-20,Лебница,43181,770,
BLG40-21,Левуново,43243,2,
BLG40-23,Лешница,43565,2,
BLG40-24,Лиляново,43699,1896,
BLG40-28,Мелник,47754,1896,
BLG40-29,Ново Делчево,52074,2,
BLG40-31,Петрово,56174,2,
BLG40-33,Пирин,56410,1896,
BLG40-34,Плоски,56839,2,
BLG40-35,Поленица,57176,2,
BLG40-37,Склаве,66785,2,
BLG40-38,Спатово,68223,1896,
BLG40-39,Струма,69938,2,
BLG40-41,Хотово,77361,1896,
BLG40-42,Хърсово,77565,1896,
BLG40-44,Яново,87446,1896,
BLG42-01,Боголин,04707,2,
BLG42-02,Ваклиново,10046,2,
BLG42-03,Вълкосел,12499,2,
BLG42-04,Годешево,15312,2,
BLG42-05,Долен,21868,2,
BLG42-06,Жижево,29372,2,
BLG42-07,Кочан,39089,2,
BLG42-08,Крибул,39726,2,
BLG42-09,Осина,54225,2,
BLG42-10,Плетена,56740,2,
BLG42-11,Слащен,67270,2,
BLG42-12,Туховища,73519,2,
BLG42-13,Фъргово,76203,2,
BLG44-01,Брежани,06238,2,
BLG44-02,Градево,17405,1896,
BLG44-03,Долно Осеново,22753,2,
BLG44-04,Железница,29146,1896,
BLG44-06,Крупник,40052,2,
BLG44-07,Полена,57162,2,
BLG44-08,Полето,57203,2,
BLG44-11,Черниче,81013,2,
BLG49-04,Добри Лаки,21467,1896,
BLG49-05,Драката,23532,1896,
BLG49-06,Игралище,32322,1896,
BLG49-07,Илинденци,32665,2,
BLG49-08,Каменица,35818,1896,
BLG49-12,Микрево,49686,2,
BLG49-15,Раздол,61772,1896,
BLG49-17,Цапарево,78046,1896,
BLG52-01,Абланица,00014,1486,
BLG52-02,Беслен,03976,2,
BLG52-03,Блатска,04399,2,
BLG52-06,Копривлен,38532,2,
BLG52-09,Ново Лески,52101,2,
BLG52-11,Петрелик,56109,1896,
BLG52-12,Садово,65108,2,
BLG52-13,Теплен,72268,660,
BLG52-14,Тешово,72374,1896,
BLG53-01,Аврамово,00059,2,
BLG53-02,Бел камен,03561,2,
BLG53-03,Бунцево,07822,2,
BLG53-04,Смолево,32603,2,
BLG53-05,Конарско,38220,2,
BLG53-06,Черна Места,81850,2,
BLG53-07,Юруково,86101,2,
DOB03-01,Безводица,03174,1896,
DOB03-02,Бобовец,04515,1896,
DOB03-03,Гурково,18160,2,
DOB03-04,Дропла,23769,1896,
DOB03-05,Дъбрава,24387,1896,
DOB03-06,Змеево,31245,1896,
DOB03-07,Кранево,39459,2,
DOB03-08,Кремена,39623,1896,
DOB03-09,Ляхово,44882,2,
DOB03-10,Царичино,48982,1896,
DOB03-11,Оброчище,53120,2,
DOB03-12,Преспа,58270,1896,
DOB03-13,Рогачево,62788,1896,
DOB03-14,Сенокос,66250,2,
DOB03-15,Соколово,67951,2,
DOB03-16,Стражица,69643,2,
DOB03-17,Тригорци,73095,1896,
DOB03-19,Църква,78639,1896,
DOB12-04,Василево,10183,2,
DOB12-08,Горица,18575,1896,
DOB12-09,Дъбовик,24339,1896,
DOB12-10,Житен,29444,1896,
DOB12-12,Изворово,32467,1896,
DOB12-13,Йовково,34045,2,
DOB12-15,Кардам,36467,2,
DOB12-18,Красен,39534,1896,
DOB12-19,Къпиново,40885,2,
DOB12-21,Люляково,44714,2,
DOB12-22,Малина,46351,1896,
DOB12-23,Петлешково,56040,1896,
DOB12-24,Писарово,56509,1896,
DOB12-26,Преселенци,58181,1896,
DOB12-27,Присад,58414,2,
DOB12-28,Пчеларово,58832,2,
DOB12-29,Равнец,61159,1896,
DOB12-30,Рогозина,62829,1896,
DOB12-32,Росица,63094,2,
DOB12-35,Снягово,67773,1896,
DOB12-36,Спасово,68196,2,
DOB12-40,Чернооково,81219,1896,
DOB15-01,Самуилово,00374,1896,
DOB15-02,Алцек,00429,660,
DOB15-03,Батово,02871,2,
DOB15-05,Бенковски,03860,2,
DOB15-06,Богдан,04580,1896,
DOB15-07,Божурово,05061,2,
DOB15-08,Бранище,06104,660,
DOB15-09,Ведрина,10307,2,
DOB15-10,Владимирово,11421,1896,
DOB15-11,Воднянци,11781,660,
DOB15-17,Победа,21083,2,
DOB15-19,Долина,21957,1896,
DOB15-20,Дончево,22988,2,
DOB15-21,Драганово,23128,1896,
DOB15-23,Енево,27468,2,
DOB15-24,Житница,29489,2,
DOB15-26,Камен,35674,1896,
